id,name,type,displayName,iconUrl,backgroundUrl,backgroundMusicUrl
121,Libya,country,,,,
122,Morocco,country,,,,
123,Palestine,country,,,,
124,Oman,country,,,,
125,Qatar,country,,,,
126,Saudi Arabia,country,,,,
127,Syrian Arab Republic,country,,,,
128,Tunisia,country,,,,
129,Türkiye,country,,,,
130,United Arab Emirates,country,,,,
131,Yemen,country,,,,
132,Afghanistan,country,,,,
133,Bangladesh,country,,,,
134,Bhutan,country,,,,
135,India,country,,,,
136,Nepal,country,,,,
137,Pakistan,country,,,,
138,Angola,country,,,,
139,Central African Republic,country,,,,
140,Congo,country,,,,
141,Democratic Republic of the Congo,country,,,,
142,Equatorial Guinea,country,,,,
143,Gabon,country,,,,
144,Burundi,country,,,,
145,Comoros,country,,,,
146,Djibouti,country,,,,
147,Eritrea,country,,,,
148,Ethiopia,country,,,,
149,Kenya,country,,,,
150,Madagascar,country,,,,
151,Malawi,country,,,,
152,Mauritius,country,,,,
153,Mozambique,country,,,,
154,Rwanda,country,,,,
155,Seychelles,country,,,,
156,Somalia,country,,,,
157,"Tanzania, the United Republic of",country,,,,
158,Uganda,country,,,,
159,Zambia,country,,,,
160,Botswana,country,,,,
161,Lesotho,country,,,,
162,Namibia,country,,,,
163,South Africa,country,,,,
164,Eswatini,country,,,,
165,Zimbabwe,country,,,,
166,Benin,country,,,,
167,Burkina Faso,country,,,,
168,Cameroon,country,,,,
169,Cabo Verde,country,,,,
170,Chad,country,,,,
171,Côte d'Ivoire,country,,,,
172,Gambia,country,,,,
173,Ghana,country,,,,
174,Guinea,country,,,,
175,Guinea-Bissau,country,,,,
176,Liberia,country,,,,
177,Mali,country,,,,
178,Mauritania,country,,,,
179,Niger (the),country,,,,
180,Nigeria,country,,,,
181,Sao Tome and Principe,country,,,,
182,Senegal,country,,,,
183,Sierra Leone,country,,,,
184,Togo,country,,,,
185,American Samoa,country,,,,
186,Bermuda,country,,,,
187,Cook Islands,country,,,,
188,Greenland,country,,,,
189,Guam,country,,,,
190,Monaco,country,,,,
191,Nauru,country,,,,
192,Niue,country,,,,
193,Northern Mariana Islands,country,,,,
194,Palau,country,,,,
195,Puerto Rico,country,,,,
196,Saint Kitts and Nevis,country,,,,
197,San Marino,country,,,,
198,Tokelau,country,,,,
199,Tuvalu,country,,,,
200,South Sudan,country,,,,
201,Sudan,country,,,,
